tarefa,tecnica,tokens_prompt,tokens_resposta,tokens_total,tempo_s,temperatura,sucesso,resposta_resumida
extracao,chain_of_thought,0,0,0,0.0,0.0,False,[ERRO] Ollama não encontrado. Certifique-se que o servidor está rodando.
extracao,chain_of_thought,0,0,0,0.0,0.0,False,[ERRO] Ollama não encontrado. Certifique-se que o servidor está rodando.
extracao,role_prompting,0,0,0,0.0,0.0,False,[ERRO] Ollama não encontrado. Certifique-se que o servidor está rodando.
extracao,role_prompting,0,0,0,0.0,0.0,False,[ERRO] Ollama não encontrado. Certifique-se que o servidor está rodando.
extracao,role_prompting,0,0,0,0.0,0.0,False,[ERRO] Ollama não encontrado. Certifique-se que o servidor está rodando.
extracao,role_prompting,0,0,0,0.0,0.0,False,[ERRO] Ollama não encontrado. Certifique-se que o servidor está rodando.
extracao,role_prompting,0,0,0,0.0,0.0,False,[ERRO] Ollama não encontrado. Certifique-se que o servidor está rodando.
geracao,zero_shot,0,0,0,0.0,0.0,False,[ERRO] Ollama não encontrado. Certifique-se que o servidor está rodando.
geracao,zero_shot,0,0,0,0.0,0.0,False,[ERRO] Ollama não encontrado. Certifique-se que o servidor está rodando.
geracao,zero_shot,0,0,0,0.0,0.0,False,[ERRO] Ollama não encontrado. Certifique-se que o servidor está rodando.
geracao,zero_shot,0,0,0,0.0,0.0,False,[ERRO] Ollama não encontrado. Certifique-se que o servidor está rodando.
geracao,zero_shot,0,0,0,0.0,0.0,False,[ERRO] Ollama não encontrado. Certifique-se que o servidor está rodando.
geracao,few_shot,0,0,0,0.0,0.0,False,[ERRO] Ollama não encontrado. Certifique-se que o servidor está rodando.
geracao,few_shot,0,0,0,0.0,0.0,False,[ERRO] Ollama não encontrado. Certifique-se que o servidor está rodando.
geracao,few_shot,0,0,0,0.0,0.0,False,[ERRO] Ollama não encontrado. Certifique-se que o servidor está rodando.
geracao,few_shot,0,0,0,0.0,0.0,False,[ERRO] Ollama não encontrado. Certifique-se que o servidor está rodando.
geracao,few_shot,0,0,0,0.0,0.0,False,[ERRO] Ollama não encontrado. Certifique-se que o servidor está rodando.
geracao,chain_of_thought,0,0,0,0.0,0.0,False,[ERRO] Ollama não encontrado. Certifique-se que o servidor está rodando.
geracao,chain_of_thought,0,0,0,0.0,0.0,False,[ERRO] Ollama não encontrado. Certifique-se que o servidor está rodando.
geracao,chain_of_thought,0,0,0,0.0,0.0,False,[ERRO] Ollama não encontrado. Certifique-se que o servidor está rodando.
geracao,chain_of_thought,0,0,0,0.0,0.0,False,[ERRO] Ollama não encontrado. Certifique-se que o servidor está rodando.
geracao,chain_of_thought,0,0,0,0.0,0.0,False,[ERRO] Ollama não encontrado. Certifique-se que o servidor está rodando.
geracao,role_prompting,0,0,0,0.0,0.0,False,[ERRO] Ollama não encontrado. Certifique-se que o servidor está rodando.
geracao,role_prompting,0,0,0,0.0,0.0,False,[ERRO] Ollama não encontrado. Certifique-se que o servidor está rodando.
geracao,role_prompting,0,0,0,0.0,0.0,False,[ERRO] Ollama não encontrado. Certifique-se que o servidor está rodando.
geracao,role_prompting,0,0,0,0.0,0.0,False,[ERRO] Ollama não encontrado. Certifique-se que o servidor está rodando.
geracao,role_prompting,0,0,0,0.0,0.0,False,[ERRO] Ollama não encontrado. Certifique-se que o servidor está rodando.
